date,postcode,New Cases in Last 3 Days,New Cases in Last 7 Days,Total Cases
2020-01-22T11:00:00.000+11:00,2627,0,0,0
2020-01-22T11:00:00.000+11:00,2137,0,0,0
2020-01-22T11:00:00.000+11:00,2647,0,0,0
2020-01-22T11:00:00.000+11:00,2483,0,0,0
2020-01-22T11:00:00.000+11:00,2292,0,0,0
2020-01-22T11:00:00.000+11:00,2447,0,0,0
2020-01-22T11:00:00.000+11:00,2420,0,0,0
2020-01-22T11:00:00.000+11:00,2221,0,0,0
2020-01-22T11:00:00.000+11:00,2176,0,0,0
2020-01-22T11:00:00.000+11:00,4005,0,0,0
2020-01-22T11:00:00.000+11:00,2619,0,0,0
2020-01-22T11:00:00.000+11:00,2445,0,0,0
2020-01-22T11:00:00.000+11:00,2195,0,0,0
2020-01-22T11:00:00.000+11:00,2506,0,0,0
2020-01-22T11:00:00.000+11:00,2039,0,0,0
2020-01-22T11:00:00.000+11:00,2843,0,0,0
2020-01-22T11:00:00.000+11:00,2454,0,0,0
2020-01-22T11:00:00.000+11:00,2464,0,0,0
2020-01-22T11:00:00.000+11:00,2168,0,0,0
2020-01-22T11:00:00.000+11:00,2192,0,0,0
2020-01-22T11:00:00.000+11:00,2716,0,0,0
2020-01-22T11:00:00.000+11:00,2081,0,0,0
2020-01-22T11:00:00.000+11:00,2581,0,0,0
2020-01-22T11:00:00.000+11:00,2372,0,0,0
2020-01-22T11:00:00.000+11:00,2161,0,0,0
2020-01-22T11:00:00.000+11:00,2198,0,0,0
2020-01-22T11:00:00.000+11:00,2711,0,0,0
2020-01-22T11:00:00.000+11:00,5114,0,0,0
2020-01-22T11:00:00.000+11:00,2482,0,0,0
2020-01-22T11:00:00.000+11:00,2350,0,0,0
2020-01-22T11:00:00.000+11:00,4101,0,0,0
2020-01-22T11:00:00.000+11:00,4165,0,0,0
2020-01-22T11:00:00.000+11:00,2642,0,0,0
2020-01-22T11:00:00.000+11:00,2063,0,0,0
2020-01-22T11:00:00.000+11:00,2578,0,0,0
2020-01-22T11:00:00.000+11:00,2130,0,0,0
2020-01-22T11:00:00.000+11:00,4178,0,0,0
2020-01-22T11:00:00.000+11:00,2049,0,0,0
2020-01-22T11:00:00.000+11:00,2319,0,0,0
2020-01-22T11:00:00.000+11:00,2537,0,0,0
2020-01-22T11:00:00.000+11:00,2470,0,0,0
2020-01-22T11:00:00.000+11:00,2880,0,0,0
2020-01-22T11:00:00.000+11:00,2628,0,0,0
2020-01-22T11:00:00.000+11:00,2714,0,0,0
2020-01-22T11:00:00.000+11:00,2700,0,0,0
2020-01-22T11:00:00.000+11:00,2583,0,0,0
2020-01-22T11:00:00.000+11:00,2829,0,0,0
2020-01-22T11:00:00.000+11:00,2358,0,0,0
2020-01-22T11:00:00.000+11:00,4740,0,0,0
2020-01-22T11:00:00.000+11:00,2485,0,0,0
2020-01-22T11:00:00.000+11:00,2713,0,0,0
2020-01-22T11:00:00.000+11:00,2265,0,0,0
2020-01-22T11:00:00.000+11:00,2422,0,0,0
2020-01-22T11:00:00.000+11:00,3516,0,0,0
2020-01-22T11:00:00.000+11:00,3024,0,0,0
2020-01-22T11:00:00.000+11:00,2586,0,0,0
2020-01-22T11:00:00.000+11:00,3992,0,0,0
2020-01-22T11:00:00.000+11:00,2166,0,0,0
2020-01-22T11:00:00.000+11:00,2380,0,0,0
2020-01-22T11:00:00.000+11:00,2748,0,0,0
2020-01-22T11:00:00.000+11:00,2334,0,0,0
2020-01-22T11:00:00.000+11:00,2370,0,0,0
2020-01-22T11:00:00.000+11:00,2045,0,0,0
2020-01-22T11:00:00.000+11:00,2865,0,0,0
2020-01-22T11:00:00.000+11:00,4560,0,0,0
2020-01-22T11:00:00.000+11:00,4215,0,0,0
2020-01-22T11:00:00.000+11:00,4053,0,0,0
2020-01-22T11:00:00.000+11:00,4507,0,0,0
2020-01-22T11:00:00.000+11:00,7170,0,0,0
2020-01-22T11:00:00.000+11:00,4805,0,0,0
2020-01-22T11:00:00.000+11:00,4567,0,0,0
2020-01-22T11:00:00.000+11:00,4570,0,0,0
2020-01-22T11:00:00.000+11:00,4152,0,0,0
2020-01-22T11:00:00.000+11:00,4217,0,0,0
2020-01-22T11:00:00.000+11:00,2179,0,0,0
2020-01-22T11:00:00.000+11:00,2870,0,0,0
2020-01-22T11:00:00.000+11:00,4811,0,0,0
2020-01-22T11:00:00.000+11:00,2452,0,0,0
2020-01-22T11:00:00.000+11:00,2165,0,0,0
2020-01-22T11:00:00.000+11:00,3144,0,0,0
2020-01-22T11:00:00.000+11:00,7008,0,0,0
2020-01-22T11:00:00.000+11:00,2012,0,0,0
2020-01-22T11:00:00.000+11:00,2505,0,0,0
2020-01-22T11:00:00.000+11:00,5061,0,0,0
2020-01-24T11:00:00.000+11:00,2134,1,1,1
2020-01-24T11:00:00.000+11:00,2121,1,1,1
2020-01-24T11:00:00.000+11:00,2071,0,0,0
2020-01-24T11:00:00.000+11:00,2033,0,0,0
2020-01-24T11:00:00.000+11:00,2010,0,0,0
2020-01-24T11:00:00.000+11:00,2073,0,0,0
2020-01-24T11:00:00.000+11:00,2070,0,0,0
2020-01-24T11:00:00.000+11:00,2077,0,0,0
2020-01-24T11:00:00.000+11:00,2163,0,0,0
2020-01-24T11:00:00.000+11:00,2022,0,0,0
2020-01-24T11:00:00.000+11:00,2217,0,0,0
2020-01-24T11:00:00.000+11:00,2090,0,0,0
2020-01-24T11:00:00.000+11:00,2200,0,0,0
2020-01-24T11:00:00.000+11:00,2232,0,0,0
2020-01-24T11:00:00.000+11:00,2158,0,0,0
2020-01-24T11:00:00.000+11:00,2196,0,0,0
2020-01-24T11:00:00.000+11:00,2153,0,0,0
2020-01-24T11:00:00.000+11:00,2122,0,0,0
2020-01-24T11:00:00.000+11:00,2749,0,0,0
2020-01-24T11:00:00.000+11:00,2113,0,0,0
2020-01-24T11:00:00.000+11:00,2042,0,0,0
2020-01-24T11:00:00.000+11:00,2087,0,0,0
2020-01-24T11:00:00.000+11:00,2119,0,0,0
2020-01-24T11:00:00.000+11:00,2580,0,0,0
2020-01-24T11:00:00.000+11:00,2040,0,0,0
2020-01-24T11:00:00.000+11:00,2144,0,0,0
2020-01-24T11:00:00.000+11:00,2127,0,0,0
2020-01-24T11:00:00.000+11:00,2011,0,0,0
2020-01-24T11:00:00.000+11:00,2076,0,0,0
2020-01-24T11:00:00.000+11:00,2234,0,0,0
2020-01-24T11:00:00.000+11:00,2428,0,0,0
2020-01-24T11:00:00.000+11:00,2115,0,0,0
2020-01-24T11:00:00.000+11:00,2145,0,0,0
2020-01-24T11:00:00.000+11:00,2777,0,0,0
2020-01-24T11:00:00.000+11:00,2117,0,0,0
2020-01-24T11:00:00.000+11:00,2116,0,0,0
2020-01-24T11:00:00.000+11:00,2028,0,0,0
2020-01-24T11:00:00.000+11:00,2091,0,0,0
2020-01-24T11:00:00.000+11:00,2761,0,0,0
2020-01-24T11:00:00.000+11:00,2170,0,0,0
2020-01-24T11:00:00.000+11:00,2064,0,0,0
2020-01-24T11:00:00.000+11:00,2046,0,0,0
2020-01-24T11:00:00.000+11:00,2065,0,0,0
2020-01-24T11:00:00.000+11:00,2769,0,0,0
2020-01-24T11:00:00.000+11:00,2765,0,0,0
2020-01-24T11:00:00.000+11:00,2047,0,0,0
2020-01-24T11:00:00.000+11:00,2043,0,0,0
2020-01-24T11:00:00.000+11:00,2800,0,0,0
2020-01-24T11:00:00.000+11:00,2204,0,0,0
2020-01-24T11:00:00.000+11:00,2096,0,0,0
2020-01-24T11:00:00.000+11:00,2029,0,0,0
2020-01-24T11:00:00.000+11:00,2024,0,0,0
2020-01-24T11:00:00.000+11:00,2027,0,0,0
2020-01-24T11:00:00.000+11:00,2023,0,0,0
2020-01-24T11:00:00.000+11:00,2126,0,0,0
2020-01-24T11:00:00.000+11:00,2120,0,0,0
2020-01-24T11:00:00.000+11:00,2207,0,0,0
2020-01-24T11:00:00.000+11:00,2020,0,0,0
2020-01-24T11:00:00.000+11:00,2114,0,0,0
2020-01-24T11:00:00.000+11:00,2257,0,0,0
2020-01-24T11:00:00.000+11:00,2021,0,0,0
2020-01-24T11:00:00.000+11:00,2110,0,0,0
2020-01-24T11:00:00.000+11:00,2766,0,0,0
2020-01-24T11:00:00.000+11:00,2230,0,0,0
2020-01-24T11:00:00.000+11:00,2756,0,0,0
2020-01-24T11:00:00.000+11:00,2570,0,0,0
2020-01-24T11:00:00.000+11:00,2566,0,0,0
2020-01-24T11:00:00.000+11:00,2031,0,0,0
2020-01-24T11:00:00.000+11:00,2088,0,0,0
2020-01-24T11:00:00.000+11:00,2456,0,0,0
2020-01-24T11:00:00.000+11:00,2030,0,0,0
2020-01-24T11:00:00.000+11:00,2763,0,0,0
2020-01-24T11:00:00.000+11:00,2218,0,0,0
